,Price,Location,Bedrooms(s),Property Type
1849,"₦ 5,000,000/year",Mabushi Abuja,2,Newly Built Standard Flat
1850,"₦ 7,500,000",Life Camp Life Camp Abuja,4,Spacious 4bedroom Terrace In An Estate
1851,"₦ 12,000,000",Gwarimpa Gwarinpa Abuja,4,Beautiful 4bedroom Terrace With Bd In An Estate
1852,"₦ 9,000,000",Life Camp Life Camp Abuja,4,Newly Built 4bedroom Terrace For Rent
1853,"₦ 15,000,000",Kado Kado Abuja,4,Exquisite And Newly Built 4bedroom Terrace Duplex
1854,"₦ 15,000,000/year",Wuye Abuja,4,&1bq Terrace Duplex
1855,"₦ 20,000,000/year",Kado Abuja,6,Semi Detached Duplex For Rent At Kado
1856,"₦ 6,000,000/year",Katampe Main Katampe Abuja,2,Apartment
1857,"₦ 360,000,000",Ikate Lekki Lagos,4,Semi Detached Home
1858,"₦ 20,000,000/year",Guzape Abuja,3,Detached Duplex & 1bq For Rent At Guzape
1859,"₦ 15,000,000/year","Mab Global Estate, Idu Industrial (institution And Research) Abuja",5,Detached Duplex
1860,"₦ 9,000,000/year",Jahi Abuja,3,Apartment
1861,"₦ 15,000,000",Mabushi Mabushi Abuja,4,For Rent Terrace Duplex 1 Room Bq
1862,"₦ 6,000,000",Life Camp Life Camp Abuja,2,For Rent Apartment
1863,"₦ 3,500,000",Life Camp Life Camp Abuja,3,For Rent Apartment
1864,"₦ 10,000,000/year","Kado Estate, Kado Abuja",3,Semi Detached Duplex With 1 Bq
1865,"₦ 15,000,000/year",Jahi Abuja,4,Terraced Duplex With 1 Bq
1866,"₦ 15,000,000",Life Camp Life Camp Abuja,3,For Rent Terrace Duplex
1867,"₦ 4,500,000/year",After Voice Of Nigeria Sabon Lugbe Lugbe Abuja,4,Newly Built Duplex In A Serene Environment
1868,"₦ 75,000,000/year",Maitama Abuja,4,Terraced Duplex
1869,"₦ 10,000,000/year",Jahi Abuja,3,Serviced Apartment
1870,"₦ 8,500,000/year",Karsana Abuja,3,Bungalow With Gatehouse
1871,"₦ 8,000,000/year",Jahi Abuja,3,Apartment
1872,"₦ 50,000,000/year",Maitama Abuja,4,Terraced Duplex With Bq
1873,"₦ 25,000,000",Kado Abuja,4,4bedroom Terrace Duplex And A Bq
1874,"₦ 17,000,000/year",Wuye Abuja,4,Newly Built 4bedroom Terrace And A Bq
1875,"₦ 50,000,000/year",Maitama Abuja,4,Twin Duplex With A Room Bq
1876,"₦ 25,000,000/year",Maitama Abuja,6,6 Units Of Flat With Bq
1877,"₦ 16,000,000/year",Guzape Abuja,4,4bedroom Terrace And A Room B.q
1878,"₦ 120,000/day",Osapa London Lekki Lagos,1,Flat
1879,"₦ 20,000,000/year",Wuse 1 Abuja,4,Terraced Duplex With A Bq
1880,"₦ 15,000,000/year",Mabushi Abuja,4,Newly Built Terraced Duplex With A Bq
1881,"₦ 7,000,000/year","Apo By Cedar Crest District District , Abuja Apo Resettlement Apo Abuja",3,3bedroom Flat With Bq For Rent
1882,"₦ 8,000,000/year",Gwarinpa Abuja,3,Newly Built Flat
1883,"₦ 8,000,000/year",Life Camp Abuja,4,Newly Built Duplex With Bq
1884,"₦ 20,000,000/year",Wuye Abuja,4,Terraced Duplex With Bq
1885,"₦ 700,000/year",Kubwa Abuja,,Newly Built Office / Shop
1886,"₦ 7,000,000/year",Gwarinpa Abuja,3,Newly Built Terraced Duplex
1887,"₦ 13,000,000/year",Jahi Abuja,4,Terraced Duplex With Bq
1888,"₦ 16,000,000/year",Jahi Abuja,5,Terraced Duplex With Bq
1889,"₦ 10,000,000/year","Gilmore, Jahi Abuja",4,Terrace Duplex With Bq
1890,"₦ 7,000,000/year",Jahi Abuja,3,Flat
1891,"₦ 15,000,000/year",Gilmore Jahi Abuja,4,Newly Built Spacious Terraced Duplex With Bq
1892,"₦ 15,000,000/year",Guzape Abuja,4,Terrace Duplex With Bq
1893,"₦ 10,000,000/year",Mabushi Abuja,4,Terrace Duplex
1894,"₦ 7,000,000/year","Gilmore, Jahi Abuja",2,Newly Built Flat
1895,"₦ 5,000,000/year",Katampe Main Abuja,3,Flat
1896,"₦ 25,000,000/year",Jabi Abuja,4,Serviced Semi Detached Duplex With Bq
1897,"₦ 7,000,000/year",Jahi Abuja,3,Flat
1898,"₦ 5,000,000/year",Jahi Abuja,2,Newly Built Flat With Bq
1899,"₦ 220,000,000",Lekki Phase 1 Lekki Lagos,2,Apartment
1900,"₦ 18,000,000/year",Jahi Abuja,4,Semi Detached Duplex With Bq
1901,"₦ 3,000,000/year",Kubwa Abuja,,Newly Built Office / Shop Use
1902,"₦ 13,000,000/year",Jahi Abuja,4,Terraced Duplex With Bq
1903,"₦ 5,500,000/year",Katampe Main Abuja,2,Newly Built Apartment
1904,"₦ 5,000,000/year","F14, Phase 4, Kubwa Abuja",4,Semi Detached Duplex
1905,"₦ 2,500,000/year",Kubwa Abuja,2,Flat
1906,"₦ 4,500,000/year",Lokogoma Abuja,3,Flat
1907,"₦ 5,000,000/year",Jahi Abuja,2,Newly Built Flat With Bq
1908,"₦ 2,300,000/year",Kubwa Abuja,2,Standard Flat
1909,"₦ 6,500,000/year",Kado Abuja,3,Flat
1910,"₦ 15,000,000/year",Guzape Abuja,4,Terraced Duplex
1911,"₦ 5,000,000/year",Guzape Abuja,,Office / Shop Space
1912,"₦ 2,500,000/year",Kubwa Abuja,,Newly Built Office / Shop Space
1913,"₦ 3,500,000/year",Fo1 Kubwa Abuja,2,Newly Built Flat
1914,"₦ 12,000,000/year",Mabushi Abuja,,Office / Residential
1915,"₦ 12,000,000/year",Guzape Abuja,4,Terraced Duplex
1916,"₦ 2,700,000/year",Fo1 Layout Kubwa Abuja,1,Flat
1917,"₦ 6,500,000/year","Fo1, Kubwa Abuja",4,Newly Built Semi Detached Duplex
1918,"₦ 2,000,000/year",Gwarinpa Abuja,,A Room Self Contained
1919,"₦ 8,000,000/year",Kado Abuja,3,Newly Built Flat
1920,"₦ 75,000,000",Ajah Lekki Lagos,2,Fully Furnished Semi Detached Bungalow
1921,"₦ 15,000,000/year",Life Camp Abuja,4,Semi Detached Duplex
1922,"₦ 7,000,000/year",Nicon Junction Katampe Main Abuja,2,Newly Built 2 And Flat
1923,"₦ 25,000,000/year",Maitama Abuja,6,6 Units Of Flat With Bq
1924,"₦ 10,500,000/year",Wuye Abuja,3,Apartment With Bq
1925,"₦ 1,500,000/year",Life Camp Abuja,,Room Self Contain
1926,"₦ 1,200,000/year","F01, Kubwa Abuja",,Newly Built Room Self Contained
1927,"₦ 18,000,000/year",Jahi Abuja,5,Newly Built Fully Detached Duplex With Bq
1928,"₦ 2,500,000/year","F01, Kubwa Abuja",2,Flat
1929,"₦ 12,000,000/year",Guzape Abuja,4,Terrace Duplex
1930,"₦ 3,500,000/year",Fo1 Kubwa Abuja,2,Flat
1931,"₦ 6,000,000/year",Katampe Main Abuja,3,Spacious
1932,"₦ 6,000,000/year",Katampe Main Abuja,2,Flat
1933,"₦ 16,000,000/year",Jahi Abuja,4,Semi Detached Duplex
1934,"₦ 10,000,000/year",Mabushi Abuja,2,Apartment
1935,"₦ 3,500,000/year",Fo1 Kubwa Abuja,2,Modern Newly Built
1936,"₦ 15,000,000/year",Jahi Abuja,4,Serviced Terraced Duplex With Bq
1937,"₦ 35,000,000",Wuse 2 Abuja,4,4 Units Of Terraced Duplex With A Bq
1938,"₦ 73,500,000/year",Wuse 2 Abuja,,Commercial Space
1939,"₦ 10,000,000/year",Wuse 2 Abuja,,Commercial Space
1940,"₦ 14,640,000",Wuse 2 Abuja,122,122 Sqm Commercial Space Along A Major Road Of Wuse 2
1941,"₦ 200,000,000",Opposite British American Tobacco Ibadan Oyo,2,2 Acres Of Industrial Land
1942,"₦ 20,000,000/year",Apo Abuja,,Land
1943,"₦ 9,000,000",Idu Abuja,4,Semi Detached Four (4) Bedroom ?? Duplex In Idu Karmo
1944,"₦ 60,000,000",Maitama Abuja,5,Semi Detached Duplex For Office .
1945,"₦ 10,230,000/year",Wuse 2 Abuja,,Commercial Space
1946,"₦ 4,500,000/year",Wuse 2 Abuja,,Office Space
1947,"₦ 11,000,000/year",Wuse 2 Abuja,,Commercial Space
1948,"₦ 7,000,000/year",Wuse 2 Abuja,40,40sqm Commercial Space
1949,"₦ 9,000,000/year",Guzape Abuja,,Commercial Space
1950,"₦ 7,000,000",Life Camp Abuja,4,Newly Built Terrace Duplexes
1951,"₦ 10,000,000",Galadimawa Abuja,,Fully Detached Four Bedroom Duplex In Galadimawa
1952,"₦ 16,000,000",Jahi Abuja,4,Terrace Duplex With Bq For Rent In Jahi.
1953,"₦ 20,000,000/year",Wuse 1 Abuja,4,Twin Semi Detached Duplex
1954,"₦ 24,000,000/year",Central Business District Abuja,400,Land Measuring 400sqm
1955,"₦ 55,000,000/year",Jabi Abuja,4,Terrace Duplex
1956,"₦ 18,000,000/year",Katampe Main Abuja,4,Terraced Duplex
1957,"₦ 25,000,000",Katampe Extension Katampe Abuja,,Katampe Extension Lush Rental
1958,"₦ 8,500,000",Jahi Abuja,,Lush Rental
1959,"₦ 15,000,000",Zone 7 Wuse 1 Abuja,,Lush Rental
1960,"₦ 19,000,000",Maitama Abuja,,Lush Rental
1961,"₦ 199,000/sqm","22 Kumasi Crescent, Wuse 2 Abuja",,Office Space
1962,"₦ 1,000,000,000","Market Square, Kado Abuja",6,Luxury Detached Duplex With Elevator
1963,"₦ 15,000,000/year","Jahi Gilmore,fct Abuja Nigeria Jahi Abuja",4,Terraced Duplex With A Bq
1964,"₦ 20,000,000/year",Wuye Abuja,5,Detached Duplex
1965,"₦ 20,000,000/year","Katampe Extension,@diplomatic Zone Fct Abuja Nigeria Katampe Extension Katampe Abuja",4,4bed Terrace Duplex At Katampe Ext Abj Nig
1966,"₦ 12,000,000",Garki 2 Abuja,4,Tarrace Duplex
1967,"₦ 35,000,000",Katampe Abuja,6,Detached Duplex
1968,"₦ 35,000,000/year",Gwarinpa Abuja,4,Detached Duplex
1969,"₦ 8,500,000",Jahi Abuja,3,Flat
1970,"₦ 15,000,000",Utako Abuja,4,Terrace Duplex
1971,"₦ 5,000,000",Life Camp Abuja,2,Flat
1972,"₦ 8,000,000",Jahi Abuja,4,Flat
1973,"₦ 8,000,000/year",Lugbe Abuja,4,Semi Detached Duplex
1974,"₦ 12,000,000",Garki 2 Abuja,4,Tarrace Duplex
1975,"₦ 9,000,000",Jahi Abuja,3,Apartment
1976,"₦ 35,000,000/year",Maitama Abuja,4,Terrace Duplex With Bq
1977,"₦ 60,000,000/year",Maitama Abuja,6,Detached Duplex
1978,"₦ 19,000,000",Maitama Abuja,3,Flat
1979,"₦ 35,000,000",Katampe Abuja,6,Semi Detached Duplex
1980,"₦ 15,000,000",Wuse 2 Abuja,3,Bungalow
1981,"₦ 15,000,000/year",Guzape Abuja,4,Tarraced Duplex
1982,"₦ 18,000,000/year",Utako Abuja,4,Tarraced Duplex
1983,"₦ 450,000,000",Chevron Lekki Lagos,5,Fully Detached Duplex With Bq
1984,"₦ 15,000,000/year",Kado Abuja,4,Tarraced Duplex
1985,"₦ 10,000,000/year",Katampe Abuja,4,Terrace Duplex
1986,"₦ 40,000,000/year",Wuse 2 Abuja,4,4 Units Of Terrace Duplex
1987,"₦ 50,000,000/year",Maitama Abuja,6,Detached Duplex
1988,"₦ 35,000,000/year",Wuse 2 Abuja,4,Semi Detached Duplex
1989,"₦ 8,000,000/year",Jabi Abuja,4,Terrace Duplex With Bq
1990,"₦ 13,000,000",Galadimawa Abuja,5,Semi Detached Duplex
1991,"₦ 25,000,000/year",Katampe Abuja,4,Semi Detached Duplex
1992,"₦ 25,000,000",Katampe Abuja,4,Tarrace Duplex
1993,"₦ 30,000,000",Guzape Abuja,4,Tarrace Duplex
1994,"₦ 4,000,000",Life Camp Abuja,3,Flat
1995,"₦ 25,000,000/year",Katampe Extension Katampe Extension Katampe Abuja,4,Luxury Semi Detached Duplex | Katampe Ext
1996,"₦ 45,000,000/year",Maitama Abuja,5,Serviced Detached Duplex
1997,"₦ 10,000,000/year",Life Camp Abuja,4,4bed Semi Detached Duplex With A Room Bq
1998,"₦ 15,000,000/year",Mabushi Abuja,4,Terraced Duplex
1999,"₦ 5,000,000/year",Jahi Abuja,6,6units Of 2 Bed Apartment With A Room Bq
2000,"₦ 5,500,000/year",Wuye Abuja,3,Apartment
2001,"₦ 18,000,000/year",Wuse 2 Abuja,5,Semi Detached Duplex With Bq
2002,"₦ 9,000,000/year",Jahi District Jahi Abuja,3,Newly Built Flat
2003,"₦ 72,000,000/year",Wuse 2 Abuja,4,4 Units Of Flat
2004,"$ 15,000,000",Banana Island Ikoyi Lagos,7,Waterfront Mansion
2005,"₦ 1,500,000/year",Maitama District Maitama Abuja,,Self Contain For Rent In Maitama
2006,"₦ 2,500,000/year",Maitama District Maitama Abuja,1,1bedroom Flat For Rent In Maitama
2007,"₦ 15,000,000/year",Wuse2 Wuse 2 Abuja,,Shop
2008,"₦ 3,500,000/year",Wuse Zone2 Wuse 1 Abuja,1,Flat
2009,"₦ 7,000,000/year",Kado District Kado Abuja,3,3bedroom Flat For Rent In Kado
2010,"₦ 10,000,000/year","Kado District, Kado Abuja",3,Terraced Duplex
2011,"₦ 4,500,000/year",Durumi Durumi Abuja,2,2bedroom Flat For Rent In Durumi
2012,"₦ 25,000,000/year",Maitama District Maitama Abuja,5,Duplex
2013,"₦ 350,000,000/year",Mabushi District Mabushi Abuja,4,Terrace Duplex
2014,"₦ 100,000,000/year",Main Asokoro Abuja,,Office Complex
2015,"₦ 10,000,000/year",Cedar Crest Hospital Apo Dutse Abuja,4,New Duplex With Bq To Let Behind Shoprite
2016,"₦ 40,000,000/year",Guzape Abuja,5,Luxury Finished s With Bq
2017,"₦ 10,000,000/year",Before Godab Life Camp Abuja,4,Spaciously Finished s With Bq
2018,"₦ 6,000,000/year",Kaura (games Village) Abuja,3,Newly Built Apartment
2019,"₦ 22,000,000/year",Gwarinpa Abuja,5,Detached Duplex With 3 Bq
2020,"₦ 4,500,000/year",Jabi Abuja,62,62m² Office Space
2021,"₦ 3,000,000/year",Berger Clinic Life Camp Abuja,1,Nicely Finished
2022,"₦ 1,200,000/year",Utako Abuja,,Office Space
2023,"₦ 5,000,000/year",Maitama Abuja,75,75sqm Office Space In Maitama
2024,"₦ 2,000,000/year",Ademola Adetokunbo Wuse 2 Abuja,,Shop Space
2025,"₦ 1,200,000,000",Shonibare Estate Maryland Lagos,5,5bed Detached+bq..
2026,"₦ 1,500,000/year",Gwarimpa Extension Gwarinpa Abuja,,Room Self Contained
2027,"₦ 7,000,000","By A Major Avenue, Gwarinpa Abuja",,Shop Space
2028,"₦ 1,500,000/year",Loko Orozo Abuja,3,Bungalow
2029,"₦ 2,500,000/year",Ushafa Abuja,2,Newly Built Flat
2030,"₦ 2,800,000/year",Ushafa Ushafa Abuja,2,Newly Built Flat
2031,"₦ 1,500,000/year",Bye Pass Karshi Abuja,4,Bungalow
2032,"₦ 8,000,000/year",Guzape Abuja,3,Flat
2033,"₦ 8,000,000/year",Pension Board Fo1 Kubwa Abuja,2,Furnished Terrace Duplex
2034,"₦ 8,000,000/year",Garki Garki 1 Abuja,2,Newly Built Flat
2035,"₦ 1,300,000/year",Efab Queens Gwarinpa Abuja,,Self Contain
2036,"₦ 1,000,000/year",Gwarinpa Abuja,,Room Self Contained
2037,"₦ 1,200,000/year",Gwarinpa Abuja,,Room Self Contained
2038,"₦ 1,300,000/year",Gwarinpa Abuja,,Room Self Contained
2039,"₦ 3,000,000/year",Area 11 Garki 2 Abuja,,Shop/office Space
2040,"₦ 750,000/year",Gwarinpa Abuja,,Room Self Contained
2041,"₦ 85,000,000/year",Along Von Garden Estate Road Lugbe Abuja,4,Bungalow
2042,"₦ 7,000,000/year",Gwarinpa Abuja,3,Newly Built Terraced Duplex
2043,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contain
2044,"₦ 9,500,000/year",Gwarinpa Abuja,3,Bungalow With Bq
2045,"₦ 1,200,000/year",Life Camp Abuja,,A Room Self Contained
2046,"₦ 22,500,000,000",Victoria Island Lagos,2965,2965sqm Office Building On 7 Floors
2047,"₦ 2,000,000/year",Gwarinpa Abuja,,A Room Self Contained
2048,"₦ 20,000,000/year",Main Jabi Abuja,4,Terrace Duplex With Bq
2049,"₦ 2,300,000/year","F14, Kubwa Abuja",2,Standard Flat
2050,"₦ 25,000,000/year",Katampe Abuja,4,Semi Detached Duplex
2051,"₦ 20,000,000/year",Jahi Gilmore Jahi Abuja,4,Detached Duplex
2052,"₦ 20,000,000",Wuse 2 Abuja,4,Gated Terraced Duplex With Bq
2053,"₦ 85,000,000/year",Jabi Abuja,4,4bedroom Flat
2054,"₦ 16,000,000/year",Guzape Abuja,4,4bedroom Terrace And A Room B.q
2055,"₦ 13,000,000/year",Jahi Abuja,3,Newly Built Smart 3bedroom Flat And Room B.q
2056,"₦ 3,000,000/year",Kubwa Abuja,2,Flat
2057,"₦ 10,000,000/year",Guzape Abuja,3,Blocks Of Flat
2058,"$ 50,000/year",Wuse 2 Abuja,6,6 Units Of Duplex
2059,"₦ 15,000,000/year",Guzape Abuja,4,Terraced Duplex
2060,"₦ 75,000,000/year",Maitama Abuja,3,3 Units Of Terrace Duplex
2061,"₦ 10,000,000/year",Wuse 2 Abuja,3,Flat
2062,"₦ 7,800,000/year",Garki 1 Abuja,130,130sqm Space
2063,"₦ 50,000,000/year",Maitama Abuja,4,Serviced Apartment
2064,"₦ 66,600,000/year",Wuse 2 Abuja,,Commercial Space
2065,"₦ 30,000,000/year",Wuse 2 Abuja,,Semi Detached Duplex
2066,"₦ 15,000,000/year",Asokoro Abuja,4,Terraced Duplex
2067,"₦ 1,200,000,000",Shonibare Estate Maryland Lagos,5,5bed Detached+bq..
2068,"₦ 150,000/day","22 Kumasi Crescent, Wuse 2 Abuja",,Conference / Meeting / Training Room
2069,"₦ 6,500,000",Katampe Main Katampe Main Abuja,3,Neatly Built Flat | Katampe Main
2070,"₦ 20,000,000/year",Kado Abuja,5,Massive Terrace Duplex With Bq
2071,"₦ 35,000,000/year",Wuse 2 Abuja,4,4 Unit Of Terraced Townhouse With A Bq
2072,"₦ 25,000,000/year",Mabushi Mabushi Abuja,4,Semi Detached Duplex
2073,"₦ 250,000,000/year","Jabi, Main Jabi Abuja",,Commercial Complex Building
2074,"₦ 2,000,000/year",Wuse 2 Abuja,,Room Self Contained
2075,"₦ 1,200,000/year",Gwarinpa Abuja,,Room Self Contained
2076,"₦ 8,000,000/year",Jahi Gilmor Jahi Abuja,3,Flat
2077,"₦ 3,500,000/year",Lugbe Abuja,3,Newly Built Flat
2078,"₦ 4,000,000/year",Kubwa Abuja,,Newly Built Spacious Shop / Office Space
2079,"₦ 1,500,000/year",Gwarimpa Extension Gwarinpa Abuja,,Room Self Contained
2080,"₦ 150,000,000/year",Aso Villa Asokoro Abuja,5,Brand New Luxury Finished s With Bq
2081,"₦ 25,000,000/year",Asokoro Abuja,4,Newly Built Terrace Duplex With Bq
2082,"₦ 15,000,000/year",Maitama Abuja,3,Spacious Apartment
2083,"₦ 18,000,000/year",Main Asokoro Abuja,5,Brand New Duplex With Bq
2084,"₦ 7,500,000/year",Vio Mabushi Abuja,3,Luxury Apartment
2085,"₦ 1,000,000/year",Utako Abuja,30,30sqm Office/shop Space
2086,"₦ 850,000/year",Utako Abuja,38,38sqm Office Space
2087,"₦ 5,000,000/year","F14 District , Kubwa Abuja",4,Semi Detached Duplex
2088,"₦ 35,000,000/year",Lekki Phase 1 Lekki Lagos,5,Duplex With Bq
2089,"₦ 12,000,000/year",Guzape Abuja,4,Terraced Duplex
2090,"₦ 1,800,000/year",Ushafa Abuja,1,Spacious Flat
2091,"₦ 50,000,000",Maitama Maitama Abuja,5,Fully Detached Duplex
2092,"₦ 30,000,000/year",Asokoro Abuja,4,Newly Built Duplex
2093,"₦ 20,000,000/year",Zone 2 Wuse 1 Abuja,5,Terrace Duplex With Bq
2094,"₦ 42,000,000/year",Mabushi Abuja,600,600sqm Office / Business Space
2095,"₦ 20,000,000/year",Mabushi Abuja,4,Newly Built Terraced Duplex With Bq
2096,"₦ 13,500,000/year",Wuse 2 Abuja,2,Flat
2097,"₦ 55,300,000",Wuse 2 Abuja,,Rooftop Space
2098,"₦ 23,100,000/year",Wuse 2 Abuja,,Ground Floor Office Space
2099,"₦ 20,000,000",Katampe Main Katampe Abuja,,Lush Rental
2100,"₦ 12,000,000/year",Mabushi Abuja,4,Terraced Duplex
2101,"₦ 42,000,000/year",Mabushi Abuja,600,600sqm Office / Business Space
2102,"₦ 75,000,000/year","Gilmore, Jahi Abuja",6,Newly Built 6 Units Of Flat With Bq
2103,"₦ 16,000,000/year","Gilmore, Jahi Abuja",4,Semi Detached Duplex
2104,"₦ 54,000,000/year","Gilmore, Jahi Abuja",6,Newly Built 6 Units Of Flat
2105,"₦ 27,000,000/year",Asokoro Abuja,4,Furnished Terraced Duplex With Guest Room
2106,"₦ 10,000,000/year","Gilmore, Jahi Abuja",4,Terrace Duplex With Bq
2107,"₦ 2,500,000/year",Kubwa Abuja,,Office / Shop
2108,"₦ 1,500,000/year",Wuse Zone2 Wuse 1 Abuja,2,Self Contain For Rent In Wuse Zone 2
2109,"₦ 700,000,000",Oniru Victoria Island Oniru Victoria Island Lagos,4,Luxury Cozy Newly Built Terraced Duplex
2110,"₦ 25,000,000/year","Maitama District, Maitama Abuja",4,New Terraced Duplex
2111,"₦ 7,000,000/year",Wuye District Wuye Abuja,3,Flat
2112,"₦ 1,600,000/year",Estate Garki 1 Abuja,,Room Self Contain
2113,"₦ 75,000/sqm",Amado Belle Way Mabushi Abuja,1,"1,200m2 Open Plan Office Space"
2114,"₦ 25,000,000/year",Aso Villa Asokoro Abuja,2,Luxury Furnished And Serviced s
2115,"₦ 2,300,000/year",Ushafa By Scc Junction Ushafa Abuja,2,Flat
2116,"₦ 3,000,000/year",Fo1 Kubwa Fo1 Layout Kubwa Abuja,2,Flat
2117,"₦ 5,000,000/year",Close To Godabs Estate Life Camp Abuja,3,Flat
2118,"₦ 7,000,000/year","Aso Estate, Lugbe Abuja",4,Duplex
2119,"₦ 15,000,000/year",Guzape Abuja,,Clean Duplex With Bq
2120,"₦ 35,000,000/year",Crescent Avenue Asokoro Abuja,4,Newly Built Duplex
2121,"₦ 115,000,000/year",Wuse 1 Abuja,,Newly Built Office Complex
2122,"₦ 5,500,000/year",Jabi Abuja,62,62sqm Office Space
2123,"₦ 70,000,000/year",Maitama Abuja,,Commercial Space
2124,"₦ 8,000,000",Jahi Abuja,,Lush Rental
2125,"₦ 12,000,000/year","Gilmore, Jahi Abuja",4,Terrace Duplex With Bq
2126,"₦ 2,300,000/year",Phase 4 Kubwa Kubwa Abuja,2,Flat
2127,"₦ 9,000,000/year",Mabushi Abuja,3,Newly Built Apartment
2128,"₦ 25,000,000/year",Wuse 2 Abuja,3,Flat With Bq
2129,"₦ 6,000,000/year",Wuse 2 Abuja,,Office Space
2130,"₦ 20,000,000/year",Oniru Victoria Island Lagos,3,Apartment
2131,"₦ 8,000,000/year",Idu Abuja,4,Terrace Duplex With Bq
2132,"₦ 12,000,000/year",Jahi Abuja,4,Newly Built Terrace Duplex With Bq
2133,"₦ 15,000,000/year",Apo Abuja,4,Semi Detached Duplex
2134,"₦ 4,000,000/year",Guzape Abuja,,Room Self Contained
2135,"₦ 40,000,000/year",Wuse 2 Abuja,165,165sqm Open Plan Office Space
2136,"₦ 3,500,000/year",Wuse 2 Abuja,,Office Space
2137,"₦ 2,000,000/year","F01 , Kubwa Abuja",,Standard Duplex Shop
2138,"₦ 16,000,000/year",Wuse 2 Abuja,,Office Space
2139,"₦ 1,500,000/year",Zone 3 Wuse 1 Abuja,,Room Self Contained
2140,"₦ 15,000,000/year",Wuye Abuja,4,4bedroom Terrace And A Bq
2141,"₦ 16,000,000/year",Guzape Abuja,4,Newly Built 4bedroom Terrace And A Bq
2142,"₦ 300,000,000",Jahi Abuja,4,4bedroom Terrace Duplex With Private Gate
2143,"₦ 50,000,000/year",Maitama Abuja,4,Detached Duplex
2144,"₦ 25,000,000/year",Maitama Abuja,4,Terrace Duplex
2145,"₦ 12,000,000/year",Gwarinpa Abuja,4,Detached Duplex
2146,"₦ 1,500,000/year",Jabi Abuja,,Room Self Contained
2147,"₦ 2,000,000/year",Gwarinpa Abuja,,Room Self Contained
2148,"₦ 3,000,000/year",Mabushi Abuja,1,Newly Renovated Flat
2149,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contained
2150,"₦ 6,000,000/year",Katampe Main Abuja,3,Flat
2151,"₦ 400,000,000",Lekki Phase 1 Lekki Lagos,4,Maisonette
2152,"₦ 3,700,000/year",Garki 1 Abuja,2,Flat
2153,"₦ 3,700,000/year",Garki 1 Abuja,2,Flat
2154,"₦ 2,700,000/year",Wuse 1 Abuja,,Office Space
