Property Type,Price (Per Annum),Location,Bedrooms,Property Category,Price (Converted to Naira),Price(Float),District
mini flat (room and parlour),"₦18,000,000","Maitama Main, Maitama 2, Maitama District, Abuja",1,Apartment,"₦18,000,000.00","18,000,000.00",Maitama
semi-detached duplex,"₦35,000,000","Wuse 2, Abuja",4,Duplex,"₦35,000,000.00","35,000,000.00",Wuse
semi-detached duplex,"₦30,000,000","Jabi, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Jabi
detached bungalow,"₦18,000,000","Estate, Kado, Abuja",3,Bungalow,"₦18,000,000.00","18,000,000.00",Kado
flat / apartment,"₦12,000,000","Guzape District, Abuja",3,Apartment,"₦12,000,000.00","12,000,000.00",Guzape
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Kado
detached duplex,"₦50,000,000","Maitama District, Abuja",8,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
detached duplex,"₦50,000,000","Maitama District, Abuja",6,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
terraced duplex,"₦25,000,000","Asokoro District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Asokoro
semi-detached duplex,"₦14,000,000","Larext Estate, Apo, Abuja",5,Duplex,"₦14,000,000.00","14,000,000.00",Apo
semi-detached duplex,"₦50,000,000","Maitama Main, Maitama District, Abuja",4,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
semi-detached duplex,"₦25,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Katampe
terraced duplex,"₦25,000,000","Katampe (Main), Katampe, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Katampe
mini flat (room and parlour),"₦2,500,000","News Engineering, Dawaki, Gwarinpa, Abuja",1,Apartment,"₦2,500,000.00","2,500,000.00",Gwarinpa
flat / apartment,"₦10,000,000","Kado, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Kado
flat / apartment,"₦10,000,000","By Peace Apartment, Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
terraced duplex,"₦15,000,000","Life Camp, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Life Camp
flat / apartment,"₦5,000,000","Off Adetokumbo Ademola, Wuse 2, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Wuse
terraced duplex,"₦30,000,000","Asokoro District, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Asokoro
flat / apartment,"₦5,000,000","By Area 1, Durumi, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Durumi
detached duplex,"₦30,000,000","Jabi, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Jabi
semi-detached duplex,"₦25,000,000","Wuse 2, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Wuse
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Kado
detached duplex,"₦7,000,000","Airport Road, Lugbe District, Abuja",5,Duplex,"₦7,000,000.00","7,000,000.00",Lugbe
terraced duplex,"₦25,000,000","Guzape District, Abuja",5,Duplex,"₦25,000,000.00","25,000,000.00",Guzape
terraced duplex,"₦18,000,000","Guzape District, Abuja",4,Duplex,"₦18,000,000.00","18,000,000.00",Guzape
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦6,000,000","Lusaka Street, Zone 6, Wuse, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Wuse
mini flat (room and parlour),"₦4,500,000","Katampe Extension, Katampe, Abuja",1,Apartment,"₦4,500,000.00","4,500,000.00",Katampe
terraced duplex,"₦12,000,000","Mabushi, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Mabushi
terraced duplex,"₦25,000,000","Jabi, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Jabi
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Kado
flat / apartment,"₦4,500,000","Idu Industrial, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Idu
flat / apartment,"₦15,000,000","Maitama District, Abuja",3,Apartment,"₦15,000,000.00","15,000,000.00",Maitama
detached duplex,"₦60,000,000","Maitama District, Abuja",5,Duplex,"₦60,000,000.00","60,000,000.00",Maitama
detached duplex,"₦30,000,000","Asokoro District, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Asokoro
flat / apartment,"₦8,000,000","Jahi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
flat / apartment,"₦15,000,000","Maitama District, Abuja",3,Apartment,"₦15,000,000.00","15,000,000.00",Maitama
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
terraced duplex,"₦50,000,000","Maitama District, Abuja",4,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
flat / apartment,"₦4,500,000","Wuse 2, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Wuse
flat / apartment,"₦6,500,000","By Family Worship, Wuye, Abuja",2,Apartment,"₦6,500,000.00","6,500,000.00",Wuye
flat / apartment,"₦6,500,000","Jabi Main, Jabi, Abuja",3,Apartment,"₦6,500,000.00","6,500,000.00",Jabi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦25,000,000","Jabi, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Jabi
flat / apartment,"₦13,500,000","Wuse 2, Abuja",2,Apartment,"₦13,500,000.00","13,500,000.00",Wuse
flat / apartment,"₦12,000,000","Mabushi, Abuja",4,Apartment,"₦12,000,000.00","12,000,000.00",Mabushi
detached duplex,"₦50,000,000","Maitama District, Abuja",6,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
terraced duplex,"₦15,000,000","Gwarinpa, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Gwarinpa
terraced duplex,"₦8,000,000","Idu Industrial, Abuja",4,Duplex,"₦8,000,000.00","8,000,000.00",Idu
detached bungalow,"₦15,000,000","Life Camp, Abuja",3,Bungalow,"₦15,000,000.00","15,000,000.00",Life Camp
detached duplex,"₦550,000,000","Gwarimpa Extenion, Gwarinpa, Abuja",7,Duplex,"₦550,000,000.00","550,000,000.00",Gwarinpa
terraced duplex,"₦10,000,000","Main Kado , Tarred Road .., Kado, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Kado
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Kado
detached duplex,"₦50,000,000","Maitama District, Abuja",6,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
flat / apartment,"₦4,500,000","Area 1 Axis., Durumi, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Durumi
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Kado
terraced duplex,"₦140,000,000","Guzape District, Abuja",4,Duplex,"₦140,000,000.00","140,000,000.00",Guzape
mini flat (room and parlour),"₦2,500,000","Kaura, Abuja",1,Apartment,"₦2,500,000.00","2,500,000.00",Kaura
terraced duplex,"₦13,000,000","Life Camp District, Life Camp, Abuja",5,Duplex,"₦13,000,000.00","13,000,000.00",Life Camp
detached bungalow,"₦7,000,000","Minister Quarters, Life Camp, Abuja",4,Bungalow,"₦7,000,000.00","7,000,000.00",Life Camp
flat / apartment,"₦4,500,000","By Area1, Durumi, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Durumi
semi-detached duplex,"₦20,000,000","Kado, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Kado
terraced duplex,"₦13,000,000","Guzape District, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Guzape
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦6,000,000","Katampe (Main), Katampe, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Katampe
terraced duplex,"₦7,000,000","By Stella Maris, Life Camp, Abuja",2,Duplex,"₦7,000,000.00","7,000,000.00",Life Camp
flat / apartment,"₦35,000,000","Wuse 2, Abuja",3,Apartment,"₦35,000,000.00","35,000,000.00",Wuse
terraced duplex,"₦30,000,000","Asokoro District, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Asokoro
terraced duplex,"₦25,000,000","Alvan Ikoku Way, Maitama District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Maitama
detached bungalow,"₦6,000,000","Von, Lugbe District, Abuja",3,Bungalow,"₦6,000,000.00","6,000,000.00",Lugbe
flat / apartment,"₦5,000,000","Area 1, Close To Stella Maris School, Durumi, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Durumi
detached duplex,"₦50,000,000","Maitama District, Abuja",6,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
detached bungalow,"₦15,000,000","Life Camp, Abuja",3,Bungalow,"₦15,000,000.00","15,000,000.00",Life Camp
flat / apartment,"₦8,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
detached bungalow,"₦15,000,000","Roundabout By Airforce Estate, Life Camp, Abuja",3,Bungalow,"₦15,000,000.00","15,000,000.00",Life Camp
detached bungalow,"₦15,000,000","Life Camp, Abuja",3,Bungalow,"₦15,000,000.00","15,000,000.00",Life Camp
terraced duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Guzape
flat / apartment,"₦5,000,000","River Park Estate, Lugbe District, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Lugbe
terraced duplex,"₦15,000,000","3rd Avenue, Gwarinpa, Abuja",3,Duplex,"₦15,000,000.00","15,000,000.00",Gwarinpa
terraced duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Guzape
flat / apartment,"₦20,000,000","Jabi, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Jabi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦15,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Katampe
terraced duplex,"₦15,000,000","Katampe Extension, Katampe, Abuja",5,Duplex,"₦15,000,000.00","15,000,000.00",Katampe
flat / apartment,"₦2,500,000","Lugbe District, Abuja",2,Apartment,"₦2,500,000.00","2,500,000.00",Lugbe
terraced duplex,"₦13,000,000","Gilmore, Jahi, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Jahi
detached duplex,"₦10,000,000","River Park Estate, Lugbe District, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Lugbe
detached duplex,"₦35,000,000","Wuye, Abuja",4,Duplex,"₦35,000,000.00","35,000,000.00",Wuye
semi-detached duplex,"₦25,000,000","Garlic 11, Garki, Abuja",9,Duplex,"₦25,000,000.00","25,000,000.00",Garki
detached duplex,"₦60,000,000","Main Asokoro, Asokoro District, Abuja",20,Duplex,"₦60,000,000.00","60,000,000.00",Asokoro
flat / apartment,"₦2,000,000","Life Camp, Abuja",1,Apartment,"₦2,000,000.00","2,000,000.00",Life Camp
terraced duplex,"₦15,000,000","Guzape Main, Guzape District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Guzape
semi-detached duplex,"₦35,000,000","Diplomatic Zone, Asokoro District, Abuja",5,Duplex,"₦35,000,000.00","35,000,000.00",Asokoro
semi-detached duplex,"₦35,000,000","Jabi, Abuja",4,Duplex,"₦35,000,000.00","35,000,000.00",Jabi
flat / apartment,"₦4,000,000","Life Camp, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Life Camp
terraced duplex,"₦12,000,000","Dakibiyu, Jabi, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Jabi
terraced duplex,"₦8,500,000","Airport Road, Jabi, Abuja",3,Duplex,"₦8,500,000.00","8,500,000.00",Jabi
flat / apartment,"₦5,000,000","Kaura District, Kaura, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Kaura
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦8,000,000","By Gilmor, Jahi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
flat / apartment,"₦7,000,000","Peace Estate, Life Camp, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Life Camp
flat / apartment,"₦6,000,000","By American International School, Durumi, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Durumi
mini flat (room and parlour),"₦4,000,000","Prince And Princess Estate, Kaura, Abuja",1,Apartment,"₦4,000,000.00","4,000,000.00",Kaura
terraced duplex,"₦13,000,000","Jahi, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Jahi
detached duplex,"₦50,000,000","Maitama District, Abuja",5,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
flat / apartment,"$24,500","Jabi, Abuja",3,Apartment,"₦33,196,765.00","33,196,765.00",Jabi
terraced duplex,"₦13,000,000","Gilmore, Jahi, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Jahi
semi-detached duplex,"₦15,000,000","Gwarinpa, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Gwarinpa
flat / apartment,"₦20,000,000","Maitama District, Abuja",3,Apartment,"₦20,000,000.00","20,000,000.00",Maitama
terraced duplex,"₦12,000,000","Life Camp, Life Camp, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Life Camp
terraced duplex,"₦8,000,000","Gwarinpa Extension- Karsana, Gwarinpa, Abuja",3,Duplex,"₦8,000,000.00","8,000,000.00",Gwarinpa
flat / apartment,"₦5,500,000","By Games-village Estate, Kaura, Abuja",3,Apartment,"₦5,500,000.00","5,500,000.00",Kaura
detached duplex,"₦10,000,000","River Park Estate, Airport Road, Lugbe District, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Lugbe
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦13,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Katampe
terraced duplex,"₦13,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Katampe
flat / apartment,"₦13,000,000","Guzape District, Abuja",3,Apartment,"₦13,000,000.00","13,000,000.00",Guzape
flat / apartment,"₦7,000,000","Jahi, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Jahi
detached duplex,"₦50,000,000","Maitama District, Abuja",5,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
detached duplex,"₦20,000,000","Kado, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Kado
flat / apartment,"₦15,000,000","Guzape District, Abuja",5,Apartment,"₦15,000,000.00","15,000,000.00",Guzape
terraced duplex,"₦16,000,000","Naf Valley, Asokoro District, Abuja",4,Duplex,"₦16,000,000.00","16,000,000.00",Asokoro
detached duplex,"₦30,000,000","Maitama District, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Maitama
flat / apartment,"₦6,000,000","Mabushi, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Mabushi
flat / apartment,"₦10,000,000","Wuse 2, Abuja",2,Apartment,"₦10,000,000.00","10,000,000.00",Wuse
flat / apartment,"₦4,000,000","Close To Dunamis Church Headquarters, Lugbe District, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Lugbe
detached bungalow,"₦18,000,000","Kado, Abuja",3,Bungalow,"₦18,000,000.00","18,000,000.00",Kado
terraced duplex,"₦25,000,000","Maitama District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Maitama
terraced duplex,"₦9,500,000","Jabi, Abuja",4,Duplex,"₦9,500,000.00","9,500,000.00",Jabi
detached bungalow,"₦18,000,000","Kado, Abuja",3,Bungalow,"₦18,000,000.00","18,000,000.00",Kado
flat / apartment,"₦12,000,000","Life Camp, Abuja",4,Apartment,"₦12,000,000.00","12,000,000.00",Life Camp
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦8,000,000","Area 10, Garki, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Garki
flat / apartment,"₦8,000,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Katampe
flat / apartment,"₦3,500,000","Katampe (Main), Katampe, Abuja",1,Apartment,"₦3,500,000.00","3,500,000.00",Katampe
flat / apartment,"₦10,000,000","Katampe (Main), Katampe, Abuja",2,Apartment,"₦10,000,000.00","10,000,000.00",Katampe
semi-detached duplex,"₦8,000,000","Idu Industrial, Abuja",4,Duplex,"₦8,000,000.00","8,000,000.00",Idu
terraced duplex,"₦15,000,000","Close To The New Bridge, Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
detached duplex,"₦40,000,000","Asokoro District, Abuja",6,Duplex,"₦40,000,000.00","40,000,000.00",Asokoro
detached duplex,"₦50,000,000","Maitama District, Abuja",6,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
detached duplex,"₦80,000,000","Asokoro District, Abuja",9,Duplex,"₦80,000,000.00","80,000,000.00",Asokoro
detached duplex,"₦20,000,000","Guzape District, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Guzape
semi-detached bungalow,"₦6,500,000","Guzape District, Abuja",2,Bungalow,"₦6,500,000.00","6,500,000.00",Guzape
terraced duplex,"₦18,000,000","Guzape District, Abuja",4,Duplex,"₦18,000,000.00","18,000,000.00",Guzape
flat / apartment,"₦3,000,000","By American International School, Durumi, Abuja",1,Apartment,"₦3,000,000.00","3,000,000.00",Durumi
mini flat (room and parlour),"₦6,000,000","Maitama District, Abuja",1,Apartment,"₦6,000,000.00","6,000,000.00",Maitama
semi-detached duplex,"₦12,000,000","Kado, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Kado
terraced duplex,"₦13,000,000","Gilmore, Jahi, Abuja",5,Duplex,"₦13,000,000.00","13,000,000.00",Jahi
flat / apartment,"₦10,000,000","Guzape District, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Guzape
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦13,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Katampe
terraced duplex,"₦13,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Katampe
mini flat (room and parlour),"₦6,500,000","Katampe (Main), Katampe, Abuja",1,Apartment,"₦6,500,000.00","6,500,000.00",Katampe
detached duplex,"₦15,000,000","Maitama 2, Maitama District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Maitama
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
detached duplex,"₦45,000,000","Gwarinpa District, Gwarinpa, Abuja",6,Duplex,"₦45,000,000.00","45,000,000.00",Gwarinpa
flat / apartment,"₦10,000,000","Jahi, Abuja",4,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
detached duplex,"₦20,000,000","Jabi, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Jabi
detached duplex,"₦10,000,000","Tarred Road, Jahi, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Jahi
terraced duplex,"₦13,000,000","Guzape District, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Guzape
flat / apartment,"₦10,000,000","By Jahi, Kado, Abuja",2,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
terraced duplex,"₦15,000,000","Off 3rd Avenue, Gwarinpa, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Gwarinpa
semi-detached duplex,"₦25,000,000","Asokoro District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Asokoro
detached duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Guzape
flat / apartment,"₦10,000,000","Wuye, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Wuye
detached bungalow,"₦75,000,000","Asokoro District, Abuja",5,Bungalow,"₦75,000,000.00","75,000,000.00",Asokoro
flat / apartment,"₦7,000,000","Idu Industrial, Abuja",3,Apartment,"₦7,000,000.00","7,000,000.00",Idu
flat / apartment,"₦7,000,000","Gilmore, Jahi, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Jahi
terraced duplex,"₦13,000,000","Jahi, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Jahi
flat / apartment,"₦7,500,000","Jedo Estate Road, Lugbe District, Abuja",2,Apartment,"₦7,500,000.00","7,500,000.00",Lugbe
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
detached duplex,"₦60,000,000","Maitama District, Abuja",5,Duplex,"₦60,000,000.00","60,000,000.00",Maitama
flat / apartment,"₦4,000,000","Kaura, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Kaura
mini flat (room and parlour),"₦2,500,000","Kaura, Abuja",1,Apartment,"₦2,500,000.00","2,500,000.00",Kaura
terraced duplex,"₦3,500,000","Behind Cider Crest, Apo, Abuja",2,Duplex,"₦3,500,000.00","3,500,000.00",Apo
flat / apartment,"₦5,000,000","Durumi, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Durumi
terraced duplex,"₦13,000,000","Guzape District, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Guzape
terraced duplex,"₦25,000,000","Guzape District, Abuja",5,Duplex,"₦25,000,000.00","25,000,000.00",Guzape
semi-detached duplex,"₦29,000,000","Guzape District, Abuja",5,Duplex,"₦29,000,000.00","29,000,000.00",Guzape
terraced duplex,"₦15,000,000","Jahi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Jahi
